"ihs5_foodid","ihs5_fooditem","ref_source","ref_fctcode","ref_fctitem","ref","WATER","ENERC1","VITA_RAE","THIA","RIBF","NIA","VITB6","FOL","VITB12","VITC","VITE","CA","CU","FE","ID","K","MG","na","SE","ZN","ID_cal","comment"
"118","Maize ufa madeya (bran flour)","MAFOODS;MAFOODS","MW01_0035;MW01_0036","maize, bran, zea mays, (deya/gaga);maize, grain, orange, raw, zea mays, (mthikinya)",NA,11.765,372.707,2.299,0.2545,0.107,2.3915,0.222,18.3894,0,64.194,0.8485,9.5,0.25,2.6825,NA,438.5,154.5,14.5,9.566736211,3,5e-04,NA
"609","Apple","MAFOODS","MW05_0001","apple, average, raw, (apozi)","ZA",83.9,62.9,1.073333333,0.02,0.06,0.2,0.03,1,0,5,0.16,2,0.07,0.3,NA,99,3,4,1.073333333,0.09,0,NA
"607","Avocado","MAFOODS","MW05_0002","avocado, raw, peeled, persea americana,(peyala losenda)","9",78,152.03,5.58,0.0558,0.1395,1.674,0.32,32.55,0,13.02,1.488,7,0.3,0.744,NA,455,14,9,0,0.3,0.001,NA
"602","Banana","MAFOODS","MW05_0004","banana, white fleshed, raw, peeled, musa paradisiaca,(nthochi)","9",72,109.1632,4.24,0.0424,0.0424,0.636,0.3604,20.14,0,11.04,0.3922,9,0.0848,0.318,NA,391.14,30.74,2.13,0,0.2,8e-04,NA
"302","Bean, brown","MAFOODS","MW02_0004","Bean, kidney, dry, Phaseolus vulgaris, (Nyemba zouma)","9",11,342.604,0,0.537,0.2225,2.076,0.4001,397.15,0,4.536,0.2217,90,0.7,7.676,NA,1397,172,27,10.375,3.3,5e-04,NA
"301","Bean, white","WAFCT","03_022","bean, white, dry, raw","1M(384), AU14(13A20122), DK2(568), SA10(3184), pu255, pu261, pu263, pu112, UP1(PHV005)",9.8,320,0,0.89,0.11,1.5,0.42,410,0,0,0.39,127,0.9,8.8,NA,1700,197,33,6.263888889,3.19,5e-04,NA
"504","Beef","MAFOODS","MW03_0006","beef, raw, (nyama ya ng'ombe)","22",72.1,95.07,6.860655738,0.062,0.197799,6.45,0.23944,7.287,1.457,0,0.23944,0.636028,0.104,7.45,NA,374.7761,22.9,52.05,17.15163934,1.77,0.0026,NA
"113","Biscuits","KENFCT","1004","biscuit, sweet","AU14(02C20287; 02C20364; 02C20286; 02C20314), SA10(3216; 3233; 3296), UK7(11-797; 11-796)",4.3,460,40,0.09,0.03,0.7,0.050157233,12.03773585,0.1,7,2.608176101,45,0.100314465,1.4,NA,158,19,298,10,0.6,0.0114,NA
"833","Boiled groundnuts","MAFOODS","MW02_0015","groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)","9",49,323.907,0,0.474,0.076,8.437,0.321,59.872,0,0,5.933,41,0.4,2.123,NA,510,123,15,1.281272727,1.4,6e-04,NA
"831","Boiled sweet potatoes","MAFOODS","MW01_0066","sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)","9",76,96.664,2.10235,0.066,0.013,0.659,0.092,7.912,0,9.231,0.29,19,0.2,0.396,NA,302,11,10,0,0.2,0.00099,"VITA_RAE from (MW01_0063*retention factor KENFCT - Starchy root or potato,boiled)"
"911","Bottled / canned beer (Carlsberg, etc.)","WAFCT","12_001","beer, european (4.6% v/v alcohol)","AU14(01A10082), SA10(4031), US28(14003)",92.3,41,0,0.01,0.02,0.5,0.03,6,0,0,0,4,0.01,0,NA,33,9,10,0,0.01,0,NA
"909","Bottled water","MAFOODS","MW08_0008","water, (madzi)","10A",100,0,0,0,0,0,0,0,0,0,0,3.92,0.00019,3e-04,1.54,0,3.14,0,0.02,0.00084,0,NA
