variable_name , variable_description     ,variable_reference ,variable_source,variable_type
fdc_id     , Food identifier as per original source (FCT)             ,  -    ,Compiled ,character
food_desc              , Food name and description as per original source (FCT)   , -                      ,Compiled,character
food_group             , Food group as per original source (FCT)                  , -                      , Compiled  ,character
scientific_name        , Scientific name of the food                              , -                      , Compiled ,character
source_fct             ," Id. of the FCT (BiblioID), see Table 1                   ", -                      , Generated,character
nutrient_data_source   , References or data source for the nutrient values        , -                      , Compiled,character
Edible_factor_in_FCT   ," Edible portion reported as fraction edible, imputed from the original FCT, or calculated from refuse in the FCT                             ", -                       , Compiled ,numeric
Edible_desc            , Information provided on the edible portion , -                      , Compiled         ,character
specific_gravity       , Density reported in the original units as in the original FCT   , -                      , Compiled  ,numeric
SOPg   , Sum of Proximate in g per 100g EP as reported in the original FCT , - , Compiled   ,numeric
SOPg_std               , Sum of Proximate in g per 100g EP (Eq. 3.3).  , -                      , Calculated        ,numeric
ASHg                   , Ashes in g per 100g of EP. , -                      , Compiled,numeric
ASHg_std               , Ashes in g per 100g of EP (Eq. 3.4)                   , -                      , Calculated        ,numeric
ENERCkJ                , Energy in kJ/ 100g of EP as reported in the original FCT , -                      , Compiled          ,numeric
ENERCkJ_standardised   , Energy in kJ/ 100g of EP (Eq. 3.5)                     , -                      , Calculated        ,numeric
ENERCkcal              , Energy in kcal/ 100g EP as reported in the original FCT  , -                      , Compiled          ,numeric
ENERCkcal_standardised , Energy in kcal/ 100g EP (Eq. 3.5)                   , -                      , Calculated        ,numeric
WATERg                 , Water/ moisture content in g per 100g of EP          , -                      , Compiled          ,numeric
PROCNTg                ," Protein in g per 100g of EP, as reported in the original FCT and assumed to be calculated from nitrogen (NTg) content                 ","FAO/INFOODS, 2012       ", Compiled          ,numeric
NTg                    ," Nitrogen, total ","FAO/INFOODS, 2012        ", Compiled          ,numeric
XN                     , Nitrogen conversion factor                              ,"FAO/INFOODS, 2012       ", Compiled         ,numeric
FATg                   ," Total fat content in g per 100g of EP. Sum of triglycerides, phospholipids, sterols and related compounds obtained by a mixed solvent extraction    ","FAO/INFOODS, 2012        ", Compiled          ,numeric
FAT_g                  , fat content unknown method of calculation in g per 100g of EP , -    , Compiled          ,numeric
FATCEg                 ," Fat content measured using continuous extraction (e.g., Soxhlet method) expressed in g per 100g of EP                                     ","FAO/INFOODS, 2012        ", Compiled         ,numeric
FATg_standardised      ," Total fat content in g per 100g of EP regardless of the Tagname (and analytical method used). Including FATg, FAT_g and FATCEg.        ",-    , Calculated     ,numeric
CHOAVLDFg              ," Available carbohydrates calculated by difference (E.g., 100 - (weight in grams of water + protein + fat + ash + fibre + alcohol in 100 g of food)) imputed from the original source    ","FAO/INFOODS, 2012               ", Compiled ,numeric
CHOAVLg                , Available carbohydrates calculated by weight in g per 100g of EP ,"FAO/INFOODS, 2012       ", Compiled ,numeric
CHOCSMg                ," Carbohydrates, total; calculated by summation. This values is the sum of the sugars, starches, oligosaccharide, and dietary fibre in g per 100g of EP.","FAO/INFOODS, 2012              ", Compiled ,numeric
