case_id,HHID,hh_g00_1,hh_g00_2,consumedYN,food_item_other,food_item,consumption_quantity,consumption_unit,consumption_unit_label,consumption_unit_oth,consumption_subunit_1,consumption_subunit_2,hh_g04a,hh_g04b,hh_g04b_label,hh_g04b_oth,hh_g04c,hh_g04c_1,hh_g05,hh_g06a,hh_g06b,hh_g06b_label,hh_g06b_oth,hh_g06c,hh_g06c_1,hh_g07a,hh_g07b,hh_g07b_label,hh_g07b_oth,hh_g07c,hh_g07c_1,food_item_code,hh_members,consumption_per_person,region
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,104,1,59,59,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,104,2,0.5,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,208,8,23,23,MEDIUM PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,208,8,1,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,301,2.5,23,23,TBE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,301,4,0.625,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,307,6,23,23,SMALL TINA FLAT,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,307,9,0.6666666666666666,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,311,7.5,23,23,JAG,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,311,6,1.25,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,403,7.5,23,23,BAKERY DONAS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,403,8,0.9375,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,BIRD,515,5.5,23,23,N/A,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,515,8,0.6875,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,602,9,9B,9,,2,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,602,7,1.2857142857142858,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,604,2.5,23,23,SMALL BOX TEA BAGS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,604,4,0.625,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,701,3.5,23,23,QUARTER,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,701,9,0.3888888888888889,3
